en,zh-tw,description
Google Drive,Google 雲端硬碟,
Google Fonts,Google Fonts,
Google Fonts,Google Fonts 網頁字型,
Google Maps,Google 地圖,
Google My Business,Google 我的商家,
Google Photos,Google 相簿,
Google Plus,Google+,社交網路服務平台名稱
Google Sheets,Google Sheets,
Google Slides,Google Slides,
Google+,Google+,社交網路服務平台名稱
Goolge Business Profiles,Google 商家檔案,
Goose Bay,古斯貝,洲、國家/地區、城市名稱
GPL,GPL,GPL 是 GNU General Public License (GNU 通用公眾授權) 的縮寫
Grand Turk,格蘭土克,洲、國家/地區、城市名稱
grant,授予,
Gravatar,Gravatar,個人頭像服務名稱
Greek,希臘文,語言名稱，介面中稱文不稱語
Greenwich,格林威治,洲、國家/地區、城市名稱
Grenada,格瑞那達,洲、國家/地區、城市名稱
grid view,格狀檢視,適用於檢視方式名稱
group,群組,
group,組成群組,
Guadalcanal,瓜達卡那島,洲、國家/地區、城市名稱
Guadeloupe,瓜地洛普,洲、國家/地區、城市名稱
Guam,關島,洲、國家/地區、城市名稱
Guarani,瓜拉尼文,語言名稱，介面中稱文不稱語
Guatemala,瓜地馬拉,洲、國家/地區、城市名稱
Guatemalan quetzal,瓜地馬拉格查爾,貨幣名稱
Guayaquil,圭亞基爾,洲、國家/地區、城市名稱
Guernsey,根西島,洲、國家/地區、城市名稱
Guernsey pound,根西島鎊,貨幣名稱
guest,訪客,
Guinean franc,幾內亞法郎,貨幣名稱
Gujarati,古吉拉特文,語言名稱，介面中稱文不稱語
Gurmukhi,果魯穆奇文,語言名稱，介面中稱文不稱語
Gutenberg,Gutenberg,Gutenberg 外掛是 WordPress 5.0 之後內建的區塊編輯器 (Block Editor) 的前期測試版本。請注意，Gutenberg 外掛只有「Gutenberg」這個名稱，沒有「古騰堡」這種中譯名稱。此外，大多數開發者提及的 Gutenberg，反倒不是單指 Gutenberg 外掛，而是泛指「區塊編輯器」。
Guyana,蓋亞那,洲、國家/地區、城市名稱
Guyanese dollar,蓋亞那元,貨幣名稱
Haitian,海地克裏奧爾文,語言名稱，介面中稱文不稱語
Haitian gourde,海地古德,貨幣名稱
Halifax,哈利法克斯,洲、國家/地區、城市名稱
handle,控點,
Hangul,韓文,語言名稱，介面中稱文不稱語
Hangul Consonant,韓文 (子音),語言名稱，介面中稱文不稱語
Harare,哈拉雷,洲、國家/地區、城市名稱
Harbin,哈爾濱,洲、國家/地區、城市名稱
hard link,直接連結,適用於作業系統及檔案系統
hardware,硬體,
hash tag,主題標籤,
hashtag,主題標籤,
Hausa,豪沙文,語言名稱，介面中稱文不稱語
Havana,哈瓦那,洲、國家/地區、城市名稱
Hazaragi,哈撒拉基文,語言名稱，介面中稱文不稱語
header,標頭,適用於資料傳輸或資料標示
header,頁首,
heading,標題,
heading level,標題階層,
Heavenly Stem,天干,
Hebrew,希伯來文,語言名稱，介面中稱文不稱語
Hebron,希伯侖,洲、國家/地區、城市名稱
height,高度,
Helsinki,赫爾辛基,洲、國家/地區、城市名稱
Herero,赫雷羅文,語言名稱，介面中稱文不稱語
Hermosillo,埃莫西約,洲、國家/地區、城市名稱
hide,隱藏,
hierarchy,階層架構,
Hindi,印度文,語言名稱，介面中稱文不稱語
Hindi (Devanagari),印度文 (梵文字母),語言名稱，介面中稱文不稱語
HiNet,HiNet,
Hiragana,日文平假名,語言名稱，介面中稱文不稱語
Hiragana-Iroha,日文平假名 (伊呂波歌),語言名稱，介面中稱文不稱語
Hiri Motu,希里莫圖文,語言名稱，介面中稱文不稱語
history,歷程記錄,
hit rate,命中率,
hit ratio,命中率,
Ho Chi Minh,胡志明市,洲、國家/地區、城市名稱
Hobart,霍巴特,洲、國家/地區、城市名稱
hold,按住,操作鍵盤、滑鼠及螢幕
Honduran lempira,宏都拉斯倫皮拉,貨幣名稱
Hong Kong,香港,洲、國家/地區、城市名稱
Hong Kong dollar,港元,貨幣名稱
Honolulu,檀香山,洲、國家/地區、城市名稱
hook,勾點,適用於程式開發
horizontal,水平,
Hovd,哈霍德,洲、國家/地區、城市名稱
hover,游標暫留,
HSTS,HSTS,適用於網際網路通訊相關
HTML entities,HTML 實體,
HTTP Strict Transport Security,HTTP 嚴格傳輸安全性,適用於網際網路通訊相關，HSTS 的原文
Hungarian,匈牙利文,語言名稱，介面中稱文不稱語
Hungarian forint,匈牙利福林,貨幣名稱
hyphen,連字號,適用於標點符號 -
hyphenate,連字號,適用於標點符號 -
I18N,I18N,I18N 是 Internationalization (國際化) 的縮寫，因為原文中的 I 及 N 之間有 18 個字母
I18N,國際化,I18N 是 Internationalization (國際化) 的縮寫，因為原文中的 I 及 N 之間有 18 個字母
Icelandic,冰島文,語言名稱，介面中稱文不稱語
Icelandic kr&oacute;na,冰島克朗,貨幣名稱
icon,圖示,
ICQ,ICQ,通訊軟體名稱
identifier,識別碼,
identify,識別,
Ido,伊多文,語言名稱，介面中稱文不稱語
iFrame,iFrame,
Igbo,伊布文,語言名稱，介面中稱文不稱語
image,圖片,
Image Caption,圖片說明文字,
import,匯入,
inactive,未啟用,
inactive,非使用中,
indent,縮排,
index,索引,適用於搜尋引擎相關內容
index,進行索引,適用於搜尋引擎相關內容
index,指數,
Indian,印度,洲、國家/地區、城市名稱
Indian rupee,印度盧比,貨幣名稱
Indiana,印第安那州,洲、國家/地區、城市名稱
Indianapolis,印第安納波利斯,洲、國家/地區、城市名稱
Indonesian,印尼文,語言名稱，介面中稱文不稱語
Indonesian rupiah,印尼盾,貨幣名稱
infinite scroll,無限捲動,
info,資訊,
information,資訊,
inline,內嵌,
Inline CSS,內嵌 CSS,
Inline JavaScript,內嵌 JavaScript,
Inline Script,內嵌指令碼,
insert,插入,
insert into,插入至,
inserter,插入器,
insight,深入解析,
Instagram,Instagram,社交網路服務平台名稱
installer,安裝程式,
instance,執行個體,
integrate,整合,
integration,整合,
interface,介面,
Interlingua (International Auxiliary Language Association),人工國際文 (國際輔助語協會),語言名稱，介面中稱文不稱語
Interlingue,人工國際文,語言名稱，介面中稱文不稱語
Internationalization,國際化,
internet,網際網路,
Inuktitut,依奴提圖特文,語言名稱，介面中稱文不稱語
Inupiaq,伊努特文,語言名稱，介面中稱文不稱語
Inuvik,因紐維克,洲、國家/地區、城市名稱
invalid,無效,
iOS,iOS,作業系統名稱
IP,IP 位址,有時候開發者會將 IP Address 寫為 Email。請注意，IP 該譯為「IP 地址」時，就譯為「IP 地址」
IP address,IP 位址,
Iqaluit,伊魁特,洲、國家/地區、城市名稱
Iranian rial,伊朗里亞爾,貨幣名稱
Iranian toman,伊朗託曼 (1 託曼 = 10 里亞爾),貨幣名稱
Iraqi dinar,伊拉克戴納,貨幣名稱
Irish,愛爾蘭文,語言名稱，介面中稱文不稱語
Irkutsk,伊爾庫次克,洲、國家/地區、城市名稱
Isle of Man,曼島,洲、國家/地區、城市名稱
Israeli new shekel,以色列新謝克爾,貨幣名稱
Istanbul,伊斯坦堡,洲、國家/地區、城市名稱
Italian,義大利文,語言名稱，介面中稱文不稱語
italic,斜體,適用於字型相關內容
item,項目,
item list,項目清單,
iteration,疊代,
Jakarta,雅加達,洲、國家/地區、城市名稱
Jamaica,牙買加,洲、國家/地區、城市名稱
Jamaican dollar,牙買加元,貨幣名稱
Jan Mayen,央棉群島,洲、國家/地區、城市名稱
Japanese,日文,語言名稱，介面中稱文不稱語
Japanese Formal,日文 (正式),語言名稱，介面中稱文不稱語
Japanese Informal,日文 (口語),語言名稱，介面中稱文不稱語
Japanese yen,日圓,貨幣名稱
Javanese,爪哇文,語言名稱，介面中稱文不稱語
JavaScript,JavaScript,
Jayapura,嘉雅浦拉,洲、國家/地區、城市名稱
Jersey,澤西島,洲、國家/地區、城市名稱
Jersey pound,澤西島鎊,貨幣名稱
Jerusalem,耶路撒冷,洲、國家/地區、城市名稱
Johannesburg,約翰尼斯堡,洲、國家/地區、城市名稱
Johnston,詹斯頓島,洲、國家/地區、城市名稱
Jordanian dinar,約旦戴納,貨幣名稱
jQuery,jQuery,
Juba,朱巴,洲、國家/地區、城市名稱
Jujuy,胡胡伊,洲、國家/地區、城市名稱
Juneau,朱諾,洲、國家/地區、城市名稱
Kabul,喀布爾,洲、國家/地區、城市名稱
Kabyle,卡拜爾文,語言名稱，介面中稱文不稱語
KakaoTalk,KakaoTalk,通訊軟體名稱
Kalaallisut,格陵蘭文,語言名稱，介面中稱文不稱語
Kaliningrad,卡里寧格勒,洲、國家/地區、城市名稱
Kamchatka,堪察加,洲、國家/地區、城市名稱
Kampala,坎帕拉,洲、國家/地區、城市名稱
Kannada,坎那達文,語言名稱，介面中稱文不稱語
Kanton,坎頓,洲、國家/地區、城市名稱
Kanuri,卡努里文,語言名稱，介面中稱文不稱語
Karachi,克洛奇,洲、國家/地區、城市名稱
Kartuli,喬治亞文,語言名稱，介面中稱文不稱語
Kashgar,喀什市,洲、國家/地區、城市名稱
Kashmiri,喀什米爾文,語言名稱，介面中稱文不稱語
Katakana,日文片假名,語言名稱，介面中稱文不稱語
Katakana-Iroha,日文片假名 (伊呂波歌),語言名稱，介面中稱文不稱語
Kathmandu,加德滿都,洲、國家/地區、城市名稱
Katmandu,加德滿都,洲、國家/地區、城市名稱
Kazakh,哈薩克文,語言名稱，介面中稱文不稱語
Kazakhstani tenge,哈薩克斯坦堅戈,貨幣名稱
Kentucky,肯塔基州,洲、國家/地區、城市名稱
Kenyan shilling,肯亞先令,貨幣名稱
Kerguelen,凱爾蓋朗群島,洲、國家/地區、城市名稱
keyboard,鍵盤,
keyboard shortcut,鍵盤快速鍵,
Khandyga,漢德加,洲、國家/地區、城市名稱
Khartoum,喀土穆,洲、國家/地區、城市名稱
Khmer,高棉文,語言名稱，介面中稱文不稱語
Kiev,基輔,洲、國家/地區、城市名稱
Kigali,吉佳利,洲、國家/地區、城市名稱
Kikuyu,吉庫尤文,語言名稱，介面中稱文不稱語
Kinshasa,金夏沙,洲、國家/地區、城市名稱
Kinyarwanda,金揚萬答文,語言名稱，介面中稱文不稱語
Kirghiz,柯爾克孜文,語言名稱，介面中稱文不稱語
Kiritimati,刻里提瑪斯,洲、國家/地區、城市名稱
Kirov,基洛夫,洲、國家/地區、城市名稱
Kirundi,科隆地文,語言名稱，介面中稱文不稱語
Knox,諾克斯,洲、國家/地區、城市名稱
Knox IN,諾克斯,洲、國家/地區、城市名稱
Kolkata,加爾各答,洲、國家/地區、城市名稱
Komi,科米文,語言名稱，介面中稱文不稱語
Kongo,剛果文,語言名稱，介面中稱文不稱語
Korean,韓文,語言名稱，介面中稱文不稱語
Korean Hangul Formal,韓國韓文 (正式),語言名稱，介面中稱文不稱語
Korean Hanja Formal,韓國漢字 (正式),語言名稱，介面中稱文不稱語
Korean Hanja Informal,韓國漢字 (口語),語言名稱，介面中稱文不稱語
Kosrae,科瑟爾,洲、國家/地區、城市名稱
Kralendijk,克拉倫代克,洲、國家/地區、城市名稱
Krasnoyarsk,克拉斯諾亞爾斯克,洲、國家/地區、城市名稱
Kuala Lumpur,吉隆坡,洲、國家/地區、城市名稱
Kuching,古晉,洲、國家/地區、城市名稱
Kurdish,庫德文,語言名稱，介面中稱文不稱語
Kurdish (Sorani),庫德文 (索拉尼),語言名稱，介面中稱文不稱語
Kuwait,科威特,洲、國家/地區、城市名稱
Kuwaiti dinar,科威特戴納,貨幣名稱
Kwajalein,瓜加林島,洲、國家/地區、城市名稱
Kwanyama,克萬亞瑪文,語言名稱，介面中稱文不稱語
Kyiv,基輔,洲、國家/地區、城市名稱
Kyrgyzstani som,吉爾吉斯斯坦索姆,貨幣名稱
L10N,本地化,L10N 是 Localization (本地化) 的縮寫，因為原文中的 L 及 N 之間有 10 個字母
L10N,L10N,L10N 是 Localization (本地化) 的縮寫，因為原文中的 L 及 N 之間有 10 個字母
La Paz,拉帕茲,洲、國家/地區、城市名稱
La Rioja,拉里奧哈,洲、國家/地區、城市名稱
Lagos,拉哥斯,洲、國家/地區、城市名稱
landing page,到達網頁,
language pack,語言套件,
Lao,寮文,語言名稱，介面中稱文不稱語
Lao kip,寮國基普,貨幣名稱
Laotian,寮文,語言名稱，介面中稱文不稱語
Latin,拉丁文,語言名稱，介面中稱文不稱語
Latvian,拉脫維亞文,語言名稱，介面中稱文不稱語
launch,啟動,
layout,版面配置,
lazy load,延遲載入,
Lebanese pound,黎巴嫩鎊,貨幣名稱
left arrow key,向左鍵,鍵盤按鍵名稱
Left to Right,從左至右,文字方向
left-click,點擊左鍵,操作鍵盤、滑鼠及螢幕
legacy,舊版,
legacy,舊式,
legacy,傳統,
legend,圖例,
Lesotho loti,賴索托洛蒂,貨幣名稱
letter,字母,
LHI,羅豪島,
Liberian dollar,賴比瑞亞元,貨幣名稱
Libreville,自由市,洲、國家/地區、城市名稱
Libyan dinar,利比亞戴納,貨幣名稱
license,授權,
license,授權方式,
license key,授權金鑰,
lightbox,燈箱,
lightness,亮度,
lightweight,輕量化,
Lima,利馬,洲、國家/地區、城市名稱
Limburgish,林堡文,語言名稱，介面中稱文不稱語
Lindeman,林德曼島,洲、國家/地區、城市名稱
LINE,LINE,通訊軟體名稱，LINE 全大寫
line break,分行符號,
Lingala,林格拉文,語言名稱，介面中稱文不稱語
link,連結,
LinkedIn,LinkedIn,社交網路服務平台名稱
Linux,Linux,作業系統名稱
Lisbon,里斯本,洲、國家/地區、城市名稱
list,清單,
list view,清單檢視,適用於檢視方式名稱
Lithuanian,立陶宛文,語言名稱，介面中稱文不稱語
Ljubljana,盧布亞納,洲、國家/地區、城市名稱
loader,載入程式,
local,本機,本機所代表的裝置不一定就在操作者身旁，也可以是操作者所操作的遠端裝置的本機
locale,地區語言,
localization,本地化,
log,記錄,
log in,登入,
log out,登出,
login,登入,
logo,標誌,不是全部的 Logo 都是「商標」，使用「標誌」比較中性
logout,登出,
Lome,洛梅,
London,倫敦,洲、國家/地區、城市名稱
Longyearbyen,龍宜爾比恩,洲、國家/地區、城市名稱
look up,查詢,
lookup,查詢,
loop,迴圈,適用於程式開發
loopback,回送,
loopback address,迴路位址,
Lord Howe,羅豪,洲、國家/地區、城市名稱
Los Angeles,洛杉磯,洲、國家/地區、城市名稱
Louisville,路易維爾,洲、國家/地區、城市名稱
Lower Alpha/Latin,小寫拉丁字元,語言名稱，介面中稱文不稱語
Lower Armenian,小寫亞美尼亞文,語言名稱，介面中稱文不稱語
Lower Greek,小寫希臘字母,語言名稱，介面中稱文不稱語
Lower Princes,下太子區,洲、國家/地區、城市名稱
Lower Roman,小寫羅馬數字,語言名稱，介面中稱文不稱語
Lower Sorbian,下索布文,語言名稱，介面中稱文不稱語
LTR,LTR,文字方向 Left to Right (從左到右) 的縮寫，例如英文、繁體中文
LTR,從左至右,文字方向 Left to Right (從左到右) 的縮寫，例如英文、繁體中文
Luanda,盧安達,洲、國家/地區、城市名稱
Luba-Katanga,盧巴卡丹加文,語言名稱，介面中稱文不稱語
Lubumbashi,羅彭巴布,洲、國家/地區、城市名稱
Lusaka,路沙卡,洲、國家/地區、城市名稱
Luxembourg,盧森堡,洲、國家/地區、城市名稱
Luxembourgish,盧森堡文,語言名稱，介面中稱文不稱語
Macanese pataca,澳門幣,貨幣名稱
Macao,澳門,洲、國家/地區、城市名稱
Macau,澳門,洲、國家/地區、城市名稱
Macedonian,馬其頓文,語言名稱，介面中稱文不稱語
Macedonian denar,馬其頓代納爾,貨幣名稱
Maceio,馬瑟歐,洲、國家/地區、城市名稱
macOS,macOS,作業系統名稱
Macquarie,麥加利島,洲、國家/地區、城市名稱
Madeira,馬迪拉群島,洲、國家/地區、城市名稱
Madrid,馬德里,洲、國家/地區、城市名稱
Magadan,馬加丹,洲、國家/地區、城市名稱
Mahe,馬赫,洲、國家/地區、城市名稱
Mailchimp,Mailchimp,
maintenance,維護,洲、國家/地區、城市名稱
Majuro,麥哲魯,洲、國家/地區、城市名稱
Makassar,瑪加沙,洲、國家/地區、城市名稱
Malabo,馬拉博,洲、國家/地區、城市名稱
Malagasy,馬達加斯加文,語言名稱，介面中稱文不稱語
Malagasy ariary,馬達加斯加阿里亞里,貨幣名稱
Malawian kwacha,馬拉威克瓦查,貨幣名稱
Malay,馬來文,語言名稱，介面中稱文不稱語
Malayalam,馬來亞拉姆文,語言名稱，介面中稱文不稱語
Malaysian ringgit,馬來西亞令吉,貨幣名稱
Maldives,馬爾地夫,洲、國家/地區、城市名稱
Maldivian rufiyaa,馬爾地夫拉菲亞,貨幣名稱
malicious software,惡意軟體,
Malta,馬爾他,洲、國家/地區、城市名稱
Maltese,馬爾他文,語言名稱，介面中稱文不稱語
manage,管理,
management,管理,
management,管理工作,
manager,管理程式,
Managua,馬納瓜,洲、國家/地區、城市名稱
Manaus,瑪瑙斯,洲、國家/地區、城市名稱
Manila,馬尼拉,洲、國家/地區、城市名稱
manual install,手動安裝,
manual installation,手動安裝,
manually install,手動安裝,
Manx,曼島文,語言名稱，介面中稱文不稱語
Manx pound,曼島鎊,貨幣名稱
Maori,毛利文,語言名稱，介面中稱文不稱語
mapping,對應,
Maputo,馬布多,洲、國家/地區、城市名稱
Marathi,馬拉提文,語言名稱，介面中稱文不稱語
Marengo,馬倫戈,洲、國家/地區、城市名稱
margin,邊界,
MariaDB,MariaDB,資料庫名稱
Mariehamn,瑪麗港,洲、國家/地區、城市名稱
Marigot,馬里戈,洲、國家/地區、城市名稱
mark,標示,
Marquesas,馬克沙斯,洲、國家/地區、城市名稱
Marshallese,馬紹爾文,語言名稱，介面中稱文不稱語
Martinique,馬丁尼克,洲、國家/地區、城市名稱
Maseru,馬塞魯,洲、國家/地區、城市名稱
Mastodon,Mastodon,社交網路服務平台名稱
Matamoros,馬塔莫羅斯,洲、國家/地區、城市名稱
Mauritanian ouguiya,茅利塔尼亞烏吉亞,貨幣名稱
Mauritian rupee,模里西斯盧比,貨幣名稱
Mauritius,模里西斯,洲、國家/地區、城市名稱
Mawson,茂遜,洲、國家/地區、城市名稱
Mayotte,馬約特島,洲、國家/地區、城市名稱
Mazatlan,馬札特蘭,洲、國家/地區、城市名稱
Mbabane,墨巴本,洲、國家/地區、城市名稱
McMurdo,麥克馬多,洲、國家/地區、城市名稱
measurement,測量,
media,媒體,
media library,媒體庫,
media uploader,媒體上傳程式,
Meetup,Meetup 小聚,
Melbourne,墨爾本,洲、國家/地區、城市名稱
memory,記憶體,
memory leak,記憶體流失,適用於程式開發。意指當程式配置了可供使用的記憶體，但在執行完成後未釋放這些配置的記憶體的情況。
Mendoza,門多薩,洲、國家/地區、城市名稱
Menominee,梅諾米尼,洲、國家/地區、城市名稱
menu,選單,適用於資訊系統
menu,菜單,適用於餐飲及餐飲業相關內容
Merida,梅里達,洲、國家/地區、城市名稱
Messenger,Messenger,通訊軟體名稱
method,方法,
Metlakatla,梅特拉卡特拉,洲、國家/地區、城市名稱
MeWe,MeWe,社交網路服務平台名稱
Mexican peso,墨西哥披索,貨幣名稱
Mexico City,墨西哥城,洲、國家/地區、城市名稱
Microsoft,Microsoft,
Midway,中途島,洲、國家/地區、城市名稱
migrate,移轉,
migration,移轉,
minimum requirement,最低安裝需求,
Minsk,明斯克,洲、國家/地區、城市名稱
Miquelon,密克隆群島,洲、國家/地區、城市名稱
modal,強制回應對話方塊,
mode,模式,
model,模型,
model,型號,
modern,新式,
modification,修改,
modify,修改,
module,模組,
Mogadishu,摩加迪休,洲、國家/地區、城市名稱
Moldovan leu,摩爾多瓦列伊,貨幣名稱
Monaco,摩納哥,洲、國家/地區、城市名稱
Moncton,蒙克頓,洲、國家/地區、城市名稱
Mongolian,蒙古文,語言名稱，介面中稱文不稱語
Mongolian t&ouml;gr&ouml;g,蒙古圖格里克,貨幣名稱
Monrovia,蒙羅維亞,洲、國家/地區、城市名稱
Monterrey,蒙特利,洲、國家/地區、城市名稱
Montevideo,蒙特維多,洲、國家/地區、城市名稱
Monticello,蒙蒂塞洛,洲、國家/地區、城市名稱
Montreal,蒙特婁,洲、國家/地區、城市名稱
Montserrat,蒙特色拉特島,洲、國家/地區、城市名稱
Moroccan Arabic,摩洛哥阿拉伯文,語言名稱，介面中稱文不稱語
Moroccan dirham,摩洛哥迪爾汗,貨幣名稱
Moscow,莫斯科,洲、國家/地區、城市名稱
mouse,滑鼠,
mouse shortcut,滑鼠快速鍵,
Mozambican metical,莫三比克梅蒂卡爾,貨幣名稱
multibyte,多位元組,
multi-byte,多位元組,
multisite,多站網路,
Muscat,馬斯喀特,洲、國家/地區、城市名稱
must use,強制使用,適用於 WordPress 提及的 Must Use Plugin。
must-use,強制使用,適用於 WordPress 提及的 Must Use Plugin。
Myanmar,緬甸,語言名稱，介面中稱文不稱語
Myanmar (Burmese),緬甸文 (緬甸),語言名稱，介面中稱文不稱語
MySQL,MySQL,資料庫名稱
Nairobi,奈洛比,洲、國家/地區、城市名稱
Namibian dollar,納米比亞元,貨幣名稱
Nassau,拿索,洲、國家/地區、城市名稱
Nauru,諾魯,洲、國家/地區、城市名稱
Nauru,諾魯文,語言名稱，介面中稱文不稱語
Navajo,納瓦荷文,語言名稱，介面中稱文不稱語
Navigation menu,導覽選單,
Ndjamena,恩加美納,洲、國家/地區、城市名稱
Ndonga,恩東加文,語言名稱，介面中稱文不稱語
Nepalese rupee,尼泊爾盧比,貨幣名稱
Nepali,尼泊爾文,語言名稱，介面中稱文不稱語
Netherlands Antillean guilder,荷屬安的列斯盾,貨幣名稱
Network,多站網路,適用於 WordPress 多站網路相關內容
network,網路,
new,新增,
New Salem,新薩勒姆,洲、國家/地區、城市名稱
New Taiwan dollar,新台幣,貨幣名稱
New York,紐約,洲、國家/地區、城市名稱
New Zealand dollar,紐西蘭元,貨幣名稱
next page,下一頁,
NGINX,NGINX,網頁伺服器名稱
Niamey,尼阿美,洲、國家/地區、城市名稱
Nias,尼亞斯文,語言名稱，介面中稱文不稱語
Nicaraguan c&oacute;rdoba,尼加拉瓜科多巴,貨幣名稱
Nickname,暱稱,
Nicosia,尼古西亞,洲、國家/地區、城市名稱
Nigerian naira,奈及利亞奈拉,貨幣名稱
Nipigon,尼皮貢,洲、國家/地區、城市名稱
Niue,紐威島,
no title,無標題,
Nome,諾姆,洲、國家/地區、城市名稱
nonce,單次有效隨機碼,
Norfolk,諾福克,洲、國家/地區、城市名稱
Noronha,諾拉哈,洲、國家/地區、城市名稱
North,北領地,洲、國家/地區、城市名稱
North Dakota,北達科他,洲、國家/地區、城市名稱
North Korean won,朝鮮圓,貨幣名稱
North Ndebele,北恩德比利文,語言名稱，介面中稱文不稱語
Northern Sami,北沙米文,語言名稱，介面中稱文不稱語
Norwegian,挪威文,語言名稱，介面中稱文不稱語
Norwegian (Bokmål),挪威文 (巴克摩),語言名稱，介面中稱文不稱語
Norwegian (Nynorsk),挪威文 (尼洛斯克),語言名稱，介面中稱文不稱語
Norwegian Bokmal,挪威文 (巴克摩),語言名稱，介面中稱文不稱語
Norwegian krone,挪威克朗,貨幣名稱
Norwegian Nynorsk,挪威文 (尼洛斯克),語言名稱，介面中稱文不稱語
notation,標記法,
notification,通知,
Nouakchott,諾克少,洲、國家/地區、城市名稱
Noumea,諾米亞,洲、國家/地區、城市名稱
Novokuznetsk,新庫茲涅茨克,洲、國家/地區、城市名稱
Novosibirsk,新西伯利亞,洲、國家/地區、城市名稱
NSW,新南威爾斯省,洲、國家/地區、城市名稱
numeric,整數,
Nuuk,努克,洲、國家/地區、城市名稱
object,物件,適用於程式開發
object cache,物件快取,
Occitan,奧西坦文,語言名稱，介面中稱文不稱語
oEmbed,oEmbed,
offset,偏移量,
offset,位移,
Ojibwa,歐及布威文,語言名稱，介面中稱文不稱語
Ojinaga,奧希納加,洲、國家/地區、城市名稱
Omani rial,阿曼里亞爾,貨幣名稱
Omsk,鄂木斯克,洲、國家/地區、城市名稱
one-time,單次,
one-time,買斷型,適用於付費方式
oops,很抱歉,
opacity,不透明度,
open source,開放原始碼,
Openverse,Openverse,目前由 Automattic 管理、維護、開發、更新的創用 CC 授權媒體檔案搜尋引擎。
operating system,作業系統,
operation system,作業系統,
optimization,最佳化,
optimize,最佳化,
option,選項,
Oral,烏拉爾,洲、國家/地區、城市名稱
Oriya,歐利亞文,語言名稱，介面中稱文不稱語
Oromo,奧羅蒙文,語言名稱，介面中稱文不稱語
OS,作業系統,一般來說，OS 會是 Content Management System (作業系統) 的縮寫
Oslo,奧斯陸,洲、國家/地區、城市名稱
Ossetian,奧塞提文,語言名稱，介面中稱文不稱語
Ossetic,奧塞提文,語言名稱，介面中稱文不稱語
Ouagadougou,瓦加杜古,洲、國家/地區、城市名稱
outdent,凸排,
outline,大綱,
outline,外框,適用於網頁設計
outline view,大綱檢視,適用於檢視方式名稱
overlay,覆疊,
overview,概觀,
overview,總覽,
Pacific,太平洋,洲、國家/地區、城市名稱
package,套件,
package,封裝,
packager,封裝工具,
padding,邊框間距,
page,頁面,適用於確定 Page 所指確實是 [頁面] 內容類型時
page builder,頁面編輯器,
Pago Pago,帕哥帕哥,洲、國家/地區、城市名稱
Pakistani rupee,巴基斯坦盧比,貨幣名稱
Palau,帛琉,洲、國家/地區、城市名稱
Pali,帕里文,語言名稱，介面中稱文不稱語
Palmer,帕麥,洲、國家/地區、城市名稱
Panama,巴拿馬,洲、國家/地區、城市名稱
Panamanian balboa,巴拿馬巴波亞,貨幣名稱
Pangnirtung,皮納唐,洲、國家/地區、城市名稱
Panjabi,旁遮普文,語言名稱，介面中稱文不稱語
Panjabi (India),旁遮普文 (印度),語言名稱，介面中稱文不稱語
Papua New Guinean kina,巴布亞紐幾內亞基那,貨幣名稱
Paraguayan guaran&iacute;,巴拉圭瓜拉尼,貨幣名稱
parallax,視差滾動,
Paramaribo,巴拉馬利波,洲、國家/地區、城市名稱
parameter,參數,
parent,上層,
parent theme,上層佈景主題,
Paris,巴黎,洲、國家/地區、城市名稱
parked domain,存放網域,存放網域或只是用來預留網址的網站，其中顯示「建置中」或「即將上線」等類似訊息。
parse,剖析,
parser,剖析器,
part,組件,適用於區塊編輯器、網站編輯器相關內容
Pashto,普什圖文,語言名稱，介面中稱文不稱語
passkey,通行金鑰,Microsoft 官方譯文 (建議採用)
passkey,密碼金鑰,Google 官方譯文
password protected,受密碼保護,
passwordless,無密碼,
path,路徑,
pattern,區塊版面配置,適用於區塊編輯器及全站編輯相關內容
payment gateway,付款入口,
PChome,PChome,
PChome,網路家庭,
peak,尖峰,
pending,待審閱,適用於各種發佈狀態
period,句號,適用於標點符號 .
period,週期,
period,期間,
permalink,永久連結,Google 台灣官方譯文，適用於搜尋引擎相關內容及核心程式
permanent,永久,
permanently,永久,
permission,權限,
Persian,波斯文,語言名稱，介面中稱文不稱語
Persian (Afghanistan),波斯文 (阿富汗),語言名稱，介面中稱文不稱語
persistent object cache,持續物件快取,
Perth,伯斯,洲、國家/地區、城市名稱
Peruvian nuevo sol,秘魯新索爾,貨幣名稱
Petersburg,聖彼得堡,洲、國家/地區、城市名稱
Philippine peso,菲律賓披索,貨幣名稱
phishing,網路釣魚,適用於網際網路行為
Phnom Penh,金邊,洲、國家/地區、城市名稱
Phoenix,鳳凰城,洲、國家/地區、城市名稱
photo,照片,
PHP,PHP,
PHP extension,PHP 擴充功能,
physical,實體,
picker,選擇器,
picture,圖片,
pin,釘選,
ping,自動通知,
pingback,自動引用通知,
Pinterest,Pinterest,社交網路服務平台名稱
Pitcairn,皮特康群島,洲、國家/地區、城市名稱
Pixnet,痞客邦,
Pixnet,Pixnet,
placeholder,預留位置,
please try again,請再試一次,
please wait,請稍候,
plugin,外掛,
plugin directory,外掛目錄,
plugin name,外掛名稱,
podcast,podcast,
Podgorica,波德戈里察,洲、國家/地區、城市名稱
Pohnpei,波納佩島,洲、國家/地區、城市名稱
policy,政策,
Polish,波蘭文,語言名稱，介面中稱文不稱語
Polish z&#x142;oty,波蘭茲羅提,貨幣名稱
